City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Santa Cruz Del Norte,CU,68.72,scattered clouds,23.1539,-81.9236,Felipon Pon Pon
1,Chuy,UY,62.53,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
2,Grand Gaube,MU,77.4,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
4,Sao Filipe,CV,74.95,scattered clouds,14.8961,-24.4956,Hotel Xaguate
7,Muriwai Beach,NZ,77.95,moderate rain,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
10,Mar Del Plata,AR,63.88,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
13,Wattegama,LK,76.12,clear sky,6.7989,81.4808,
15,Atuona,PF,78.89,clear sky,-9.8,-139.0333,Villa Enata
16,Ngunguru,NZ,70.66,scattered clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
17,Ambatondrazaka,MG,65.57,scattered clouds,-17.8333,48.4167,MANAMBINA Hotel
25,Ribeira Grande,PT,63.75,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
26,New Norfolk,AU,72.72,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
27,Cape Town,ZA,60.28,light intensity drizzle,-33.9258,18.4232,Southern Sun Waterfront Cape Town
28,Cidreira,BR,69.28,broken clouds,-30.1811,-50.2056,Hotel Castelo
29,Pilar,BR,76.93,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
30,Rikitea,PF,76.89,overcast clouds,-23.1203,-134.9692,People ThankYou
36,East London,ZA,67.66,broken clouds,-33.0153,27.9116,Tu Casa
43,Kampene,CD,67.23,moderate rain,-3.6,26.6667,
46,Ishigaki,JP,73.53,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
50,Lodwar,KE,78.31,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
53,Victoria,HK,70.25,broken clouds,22.2855,114.1577,Mini Hotel Central
55,Carutapera,BR,78.19,scattered clouds,-1.195,-46.02,Lidera
56,Guerrero Negro,MX,62.26,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
59,Aden,YE,78.82,clear sky,12.7794,45.0367,Sama Emirate Hotel
62,Shaowu,CN,61.95,clear sky,27.3409,117.4831,Yijie Express Hotel
63,Jiaocheng,CN,67.01,clear sky,24.6774,116.1389,Changtan Tourism Resort
65,Jardim,BR,76.12,few clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
66,Monrovia,LR,78.93,light rain,6.3005,-10.7969,Sunset Inn
67,Acapulco,MX,78.55,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
70,Rio Grande,BR,64.94,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
72,Kasempa,ZM,63.64,broken clouds,-13.4584,25.8338,Lolelunga Forest Reserve
74,Sinazongwe,ZM,78.4,broken clouds,-17.2614,27.4618,Lakeview Lodge
75,Sao Joao Da Barra,BR,74.91,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
77,Hilo,US,76.73,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
78,Lazaro Cardenas,MX,77.11,broken clouds,17.9583,-102.2,quinta antigua
80,Hobart,AU,73.06,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
83,Wanning,CN,73.08,overcast clouds,18.8003,110.3967,Paradise Hotel
84,Garowe,SO,65.34,clear sky,8.4054,48.4845,Curubo Hotel
85,Naze,JP,70.72,broken clouds,28.3667,129.4833,Shishime Hotel
88,Burnie,AU,60.3,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
89,Puerto Leguizamo,CO,71.6,scattered clouds,-0.1934,-74.7819,la casona de juancho
97,Codrington,AU,74.84,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
98,Ancud,CL,60.42,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
100,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
101,Mayumba,GA,75.52,heavy intensity rain,-3.432,10.6554,LIKWALE LODGE
103,Choma,ZM,65.88,scattered clouds,-16.8065,26.9531,Kamuboola Lodge
105,Vila Franca Do Campo,PT,61.21,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
