City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Mnogovershinnyy,53.9353,139.9242,8.53,88,99,3.49,overcast clouds
1,Mataura,-46.1927,168.8643,55.47,44,87,7.25,overcast clouds
2,Ushuaia,-54.8,-68.3,44.26,65,40,29.93,scattered clouds
3,Sao Joao Da Barra,-21.6403,-41.0511,75.2,87,90,14.72,overcast clouds
4,Busselton,-33.65,115.3333,64.04,58,90,16.53,overcast clouds
5,Den Helder,52.9599,4.7593,40.06,89,75,15.99,broken clouds
6,Khatanga,71.9667,102.5,-17.64,99,100,6.53,overcast clouds
7,Barrow,71.2906,-156.7887,15.82,73,90,19.57,overcast clouds
8,Lompoc,34.6391,-120.4579,66.34,89,1,9.22,mist
9,Padang,-0.9492,100.3543,77.05,77,92,2.1,overcast clouds
10,Vila Franca Do Campo,37.7167,-25.4333,63.19,84,30,2.86,scattered clouds
11,Bonthe,7.5264,-12.505,79.97,82,34,6.78,scattered clouds
12,Airai,-8.9266,125.4092,71.42,71,97,1.7,overcast clouds
13,Bredasdorp,-34.5322,20.0403,59.29,94,100,10.0,moderate rain
14,Olafsvik,64.8945,-23.7142,41.81,87,100,17.56,overcast clouds
15,Touros,-5.1989,-35.4608,81.5,78,38,15.19,scattered clouds
16,Ayorou,14.7308,0.9174,75.24,13,8,7.67,clear sky
17,Sitka,57.0531,-135.33,35.49,75,90,5.75,light rain
18,Hermanus,-34.4187,19.2345,59.9,94,100,9.35,light rain
19,Tynda,55.1667,124.7167,1.36,97,99,3.11,overcast clouds
20,Jamestown,42.097,-79.2353,46.33,52,90,15.99,overcast clouds
21,Grand Gaube,-20.0064,57.6608,77.4,72,77,15.55,broken clouds
22,Iquitos,-3.7481,-73.2472,77.04,94,40,1.14,scattered clouds
23,Linqiong,30.4159,103.4609,53.42,66,100,1.59,overcast clouds
24,Podosinovets,60.2776,47.0659,-20.2,100,17,2.84,few clouds
25,Kestel,40.1983,29.2124,36.88,77,16,3.58,few clouds
26,Beyneu,45.3167,55.2,35.19,75,100,10.76,overcast clouds
27,New Norfolk,-42.7826,147.0587,69.93,56,89,1.99,overcast clouds
28,Hokitika,-42.7167,170.9667,59.36,55,88,10.6,overcast clouds
29,Rosamorada,22.1222,-105.2058,71.53,79,96,0.94,overcast clouds
30,Dikson,73.5069,80.5464,-6.56,96,100,9.71,overcast clouds
31,Chokurdakh,70.6333,147.9167,-42.57,99,53,6.06,broken clouds
32,Havelock,34.8791,-76.9013,58.95,87,1,3.44,clear sky
33,Bauchi,10.5,10.0,66.97,26,8,4.7,clear sky
34,Aljezur,37.3191,-8.8033,52.11,83,0,10.51,clear sky
35,Punta Arenas,-53.15,-70.9167,51.12,70,92,11.48,overcast clouds
36,Oyama,36.3,139.8,49.89,53,100,3.98,overcast clouds
37,Vila Velha,-20.3297,-40.2925,76.95,88,20,8.99,few clouds
38,Shimoda,34.6667,138.95,55.51,81,100,16.58,light rain
39,Yarada,17.65,83.2667,77.32,83,75,3.44,mist
40,Saint George,37.1041,-113.5841,58.53,34,1,1.01,clear sky
41,Clyde River,70.4692,-68.5914,10.63,85,100,32.21,light snow
